MCS,cells,mean_component_assembled_pore,mean_component_assembly_sites,mean_component_channel_complex,mean_component_connecting_complex,mean_component_nup188_inner_ring,mean_component_nup205_inner_ring,mean_component_y_complex,mean_localization_cytoplasm,mean_localization_nuclear_envelope,stage_fraction_channel_complex,stage_fraction_connecting_complex,stage_fraction_inner_ring,stage_fraction_mature,stage_fraction_none,stage_fraction_seed,stage_fraction_y_complex_scaffold,total_component_assembled_pore,total_component_assembly_sites,total_component_channel_complex,total_component_connecting_complex,total_component_nup188_inner_ring,total_component_nup205_inner_ring,total_component_y_complex
1400.0,484.0,0.0,0.9917355371900827,0.47520661157024796,6.822314049586777,0.008264462809917356,0.004132231404958678,15.475206611570249,0.22128099173553842,0.7787190082644677,0.008264462809917356,0.1797520661157025,0.0,0.0,0.008264462809917356,0.09917355371900827,0.7045454545454546,0.0,480.0,230.0,3302.0,4.0,2.0,7490.0
1425.0,484.0,0.0,0.9917355371900827,0.5661157024793388,7.202479338842975,0.008264462809917356,0.004132231404958678,15.545454545454545,0.22128099173553842,0.7787190082644677,0.008264462809917356,0.19834710743801653,0.0,0.0,0.008264462809917356,0.08264462809917356,0.7024793388429752,0.0,480.0,274.0,3486.0,4.0,2.0,7524.0
1450.0,484.0,0.0,0.993801652892562,0.7024793388429752,7.615702479338843,0.008264462809917356,0.008264462809917356,15.590909090909092,0.21456611570248071,0.7854338842975263,0.010330578512396695,0.22520661157024793,0.0,0.0,0.006198347107438017,0.0743801652892562,0.6838842975206612,0.0,481.0,340.0,3686.0,4.0,4.0,7546.0
1475.0,484.0,0.0,0.9958677685950413,0.8099173553719008,7.958677685950414,0.012396694214876033,0.012396694214876033,15.652892561983471,0.21456611570248071,0.7854338842975263,0.014462809917355372,0.2665289256198347,0.0,0.0,0.004132231404958678,0.06611570247933884,0.6487603305785123,0.0,482.0,392.0,3852.0,6.0,6.0,7576.0
1500.0,484.0,0.0,0.9958677685950413,0.9669421487603306,8.318181818181818,0.01652892561983471,0.02066115702479339,15.685950413223141,0.20929752066115845,0.7907024793388487,0.01652892561983471,0.29338842975206614,0.0,0.0,0.004132231404958678,0.05578512396694215,0.6301652892561983,0.0,482.0,468.0,4026.0,8.0,10.0,7592.0
1525.0,484.0,0.0,0.9958677685950413,1.103305785123967,8.62396694214876,0.03305785123966942,0.0371900826446281,15.706611570247935,0.20929752066115845,0.7907024793388487,0.030991735537190084,0.3140495867768595,0.0,0.0,0.004132231404958678,0.049586776859504134,0.6012396694214877,0.0,482.0,534.0,4174.0,16.0,18.0,7602.0
1550.0,484.0,0.0,0.9979338842975206,1.2603305785123966,8.942148760330578,0.045454545454545456,0.05785123966942149,15.75206611570248,0.20588842975206764,0.7941115702479401,0.03305785123966942,0.3450413223140496,0.0,0.0,0.002066115702479339,0.04338842975206612,0.5764462809917356,0.0,483.0,610.0,4328.0,22.0,28.0,7624.0
1575.0,484.0,0.0,1.0,1.4132231404958677,9.181818181818182,0.05371900826446281,0.07851239669421488,15.772727272727273,0.20588842975206764,0.7941115702479401,0.0371900826446281,0.365702479338843,0.0,0.0,0.0,0.03925619834710744,0.5578512396694215,0.0,484.0,684.0,4444.0,26.0,38.0,7634.0
1600.0,484.0,0.0,1.0,1.5950413223140496,9.442148760330578,0.07024793388429752,0.08677685950413223,15.793388429752065,0.2037190082644644,0.7962809917355437,0.04338842975206612,0.39669421487603307,0.0,0.0,0.0,0.03305785123966942,0.5268595041322314,0.0,484.0,772.0,4570.0,34.0,42.0,7644.0
1625.0,484.0,0.0,1.0,1.8553719008264462,9.706611570247935,0.08677685950413223,0.10743801652892562,15.830578512396695,0.2037190082644644,0.7962809917355437,0.05578512396694215,0.4132231404958678,0.0,0.0,0.0,0.030991735537190084,0.5,0.0,484.0,898.0,4698.0,42.0,52.0,7662.0
1650.0,484.0,0.0,1.0,2.0661157024793386,9.909090909090908,0.11983471074380166,0.1322314049586777,15.859504132231406,0.20206611570248095,0.7979338842975272,0.06611570247933884,0.44008264462809915,0.0,0.0,0.0,0.028925619834710745,0.46487603305785125,0.0,484.0,1000.0,4796.0,58.0,64.0,7676.0
1675.0,484.0,0.0,1.0,2.272727272727273,10.074380165289256,0.1446280991735537,0.17355371900826447,15.884297520661157,0.20206611570248095,0.7979338842975272,0.08057851239669421,0.4628099173553719,0.0,0.0,0.0,0.028925619834710745,0.42768595041322316,0.0,484.0,1100.0,4876.0,70.0,84.0,7688.0
1700.0,484.0,0.0,1.0,2.475206611570248,10.243801652892563,0.17768595041322313,0.2231404958677686,15.909090909090908,0.20144628099173714,0.798553719008271,0.1012396694214876,0.48140495867768596,0.0,0.0,0.0,0.022727272727272728,0.39462809917355374,0.0,484.0,1198.0,4958.0,86.0,108.0,7700.0
1725.0,484.0,0.0,1.0,2.6735537190082646,10.421487603305785,0.23140495867768596,0.2603305785123967,15.913223140495868,0.20144628099173714,0.798553719008271,0.12396694214876033,0.49173553719008267,0.002066115702479339,0.0,0.0,0.01859504132231405,0.36363636363636365,0.0,484.0,1294.0,5044.0,112.0,126.0,7702.0
